9 2905 6804
0 321 0.423009 0.0349539
3 321 0.423009 0.0657643
0 322 0.304183 0.036421
3 322 0.309318 0.0682095
0 323 0.343792 0.0393553
3 323 0.346726 0.0716329
0 324 0.494891 0.0408225
3 324 0.49049 0.0701657
0 325 0.406872 0.0437568
3 325 0.407117 0.0743227
0 326 0.489023 0.045224
3 326 0.486089 0.0745672
0 327 0.477287 0.0481583
3 327 0.474353 0.0775015
0 328 0.339391 0.0525598
3 328 0.343792 0.0833702
0 329 0.47142 0.0525598
3 329 0.469463 0.0816585
0 330 0.298316 0.0540269
3 330 0.304183 0.0863045
0 331 0.285113 0.0554941
3 331 0.290981 0.0877717
0 332 0.276311 0.0598956
3 332 0.283646 0.0921731
0 333 0.484622 0.0598956
3 333 0.481688 0.0877717
0 334 0.459684 0.0613628
3 334 0.458217 0.090706
0 335 0.467019 0.0613628
3 335 0.465552 0.090706
3 58 0.358217 0.0975528
0 336 0.39807 0.0745672
3 336 0.399782 0.103666
0 337 0.365797 0.0863045
3 337 0.370198 0.115648
3 61 0.383401 0.117115
0 338 0.440613 0.0892388
3 338 0.440613 0.117115
0 339 0.389268 0.0921731
3 339 0.392202 0.121516
0 340 0.308878 -0.262
3 340 0.308878 -0.214464
0 341 0.301836 -0.246154
3 341 0.301836 -0.198618
0 342 -0.0854472 -0.226788
3 342 -0.066083 -0.17573
0 343 -0.321338 -0.217985
3 343 -0.291412 -0.16458
0 344 -0.33014 -0.210942
3 344 -0.300213 -0.158125
0 345 -0.321338 -0.196858
3 345 -0.291412 -0.14404
0 346 0.432104 -0.17573
3 346 0.425943 -0.13377
0 347 0.430344 -0.161646
3 347 0.425063 -0.121152
0 348 0.294795 -0.152843
3 348 0.296555 -0.110588
0 349 -0.275568 -0.149322
3 349 -0.248106 -0.100377
0 350 0.308878 -0.135237
3 350 0.310051 -0.0941563
0 351 0.300076 -0.133476
3 351 0.301836 -0.0929826
0 352 0.289514 -0.131716
3 352 0.293034 -0.091222
0 353 0.00785293 -0.124673
3 353 0.0236964 -0.0806584
0 354 -0.0801661 -0.122913
3 354 -0.0608019 -0.0771372
0 355 0.41098 -0.117631
3 355 0.407459 -0.0788978
0 356 0.446187 -0.11587
3 356 0.440613 -0.0780176
0 357 0.301836 -0.108828
3 357 0.303597 -0.0700949
0 358 0.414501 -0.105307
3 358 0.41098 -0.0683343
0 359 0.314159 -0.100025
3 359 0.315919 -0.0618788
0 360 0.453229 -0.0929826
3 360 0.447948 -0.0560101
3 64 0.402178 -0.0542495
0 361 0.45675 -0.0877008
3 361 0.451469 -0.0524889
0 362 0.391616 -0.0841796
3 362 0.390735 -0.0472071
0 363 0.418021 -0.082419
3 363 0.415205 -0.0454465
0 364 0.384574 -0.0788978
3 364 0.384574 -0.0419253
0 365 0.403938 -0.073616
3 365 0.402178 -0.0384042
0 366 0.416261 -0.0683343
3 366 0.414207 -0.0325355
0 367 0.296555 -0.0648131
3 367 0.300076 -0.0278406
3 68 0.400418 -0.0137558
0 368 0.437386 -0.0472071
3 368 0.433865 -0.0137558
0 369 0.374012 -0.0401648
3 369 0.374012 -0.0049529
0 370 0.437386 -0.0366436
3 370 0.433865 -0.00319231
0 371 0.402178 -0.0278406
3 371 0.402178 0.00561067
0 372 0.409219 -0.0225588
3 372 0.409219 0.0108924
0 373 0.474353 -0.0190376
3 373 0.469952 0.0129465
0 374 0.447948 -0.0102347
3 374 0.446481 0.0217494
0 375 0.287753 0.0267378
3 375 0.293034 0.0601891
0 376 0.41098 0.0267378
3 376 0.41098 0.0580764
0 377 0.303597 0.0355408
3 377 0.308878 0.068992
0 378 0.453229 0.0461043
3 378 0.451469 0.0760344
0 379 0.45851 0.0496255
3 379 0.45675 0.0795556
3 74 0.358462 0.0980418
0 380 0.381053 0.0795556
3 380 0.384574 0.109486
0 381 0.449708 0.0795556
3 381 0.449708 0.107725
0 382 0.356408 0.0813162
3 382 0.359929 0.111246
0 383 0.375772 0.086598
3 383 0.379293 0.116528
0 384 0.384574 0.086598
3 384 0.388095 0.116528
0 385 -0.0537603 -0.231365
3 385 -0.0361566 -0.181012
0 386 -0.313592 -0.222914
3 386 -0.284018 -0.170097
0 387 -0.326267 -0.212351
3 387 -0.296693 -0.159533
0 388 -0.330492 -0.206013
3 388 -0.300918 -0.153195
0 389 -0.243881 -0.197562
3 389 -0.217476 -0.1458
0 390 0.324369 -0.18066
3 390 0.324721 -0.136997
0 391 -0.288243 -0.170097
3 391 -0.259725 -0.119391
0 392 -0.0305233 -0.170097
3 392 -0.0136237 -0.123617
0 393 -0.284018 -0.165871
3 393 -0.256204 -0.11587
0 394 -0.277681 -0.161646
3 394 -0.250923 -0.112349
0 395 -0.0262984 -0.15742
3 395 -0.00975089 -0.110588
0 396 0.449004 -0.138406
3 396 0.442667 -0.100377
0 397 0.398305 -0.123617
3 397 0.396193 -0.0855881
0 398 0.29057 -0.117279
3 398 0.293034 -0.0771372
0 399 0.408867 -0.117279
3 399 0.406755 -0.0792499
0 400 0.476466 -0.117279
3 400 0.470129 -0.0792499
0 401 -0.334717 -0.113053
3 401 -0.305143 -0.0644609
3 78 0.39408 -0.0686864
3 79 0.400418 -0.0602355
0 402 0.476466 -0.0898135
3 402 0.470129 -0.0538974
0 403 0.328594 -0.0877007
3 403 0.330002 -0.0507283
3 82 0.408867 -0.0475592
0 404 0.442667 -0.0834753
3 404 0.438442 -0.0475592
0 405 0.311694 -0.0813626
3 405 0.313807 -0.0433338
0 406 0.391968 -0.0750245
3 406 0.389855 -0.0391084
0 407 0.451117 -0.0454465
3 407 0.446892 -0.0116431
0 408 0.474354 -0.0285448
3 408 0.470833 0.00385008
0 409 0.446892 -0.00953041
3 409 0.444779 0.0221603
0 410 0.271558 0.0158221
3 410 0.277895 0.0496255
0 411 0.27367 0.0200476
3 411 0.280008 0.053851
0 412 0.341269 0.0284984
3 412 0.345494 0.0601891
0 413 0.491253 0.0369493
3 413 0.487028 0.0665272
0 414 0.468016 0.0517382
3 414 0.465904 0.0813162
0 415 0.0307379 0.0749781
3 415 0.0476375 0.110894
0 416 0.389855 0.0813162
3 416 0.391968 0.110894
0 417 0.360281 0.0834289
3 417 0.364506 0.113007
0 418 0.366618 0.0855416
3 418 0.370843 0.11512
0 419 -0.0596752 -0.243196
3 419 -0.0419306 -0.192491
0 420 -0.277681 -0.22545
3 420 -0.249796 -0.172209
0 421 -0.282751 -0.220379
3 421 -0.254866 -0.167139
0 422 -0.28782 -0.215309
3 422 -0.259936 -0.162068
0 423 -0.333449 -0.212773
3 423 -0.30303 -0.159533
0 424 -0.32838 -0.205168
3 424 -0.298974 -0.151927
0 425 0.480269 -0.192491
3 425 0.470833 -0.151082
0 426 -0.242191 -0.139251
3 426 -0.216842 -0.0910811
0 427 0.444779 -0.118969
3 427 0.439709 -0.0809401
0 428 0.462524 -0.0961516
3 428 0.457454 -0.060658
0 429 0.467594 -0.0910811
3 429 0.462524 -0.0555875
0 430 0.457454 -0.0758695
3 430 0.452384 -0.040376
0 431 -0.0875596 -0.0682638
3 431 -0.06728 -0.0251644
0 432 -0.259936 -0.0454465
3 432 -0.233319 -0.00107956
0 433 0.386475 -0.0124882
3 433 0.386475 0.0204701
0 434 0.470129 0.0407522
